team_id_home,home_team,game_id,game_date,matchup_home,wl_home,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,pts_home,team_id_away,team_abbreviation_away,wl_away,fgm_away,fga_away,fg_pct_away,fg3m_away,fg3a_away,fg3_pct_away,ftm_away,fta_away,ft_pct_away,pts_away
1610612740,NOH,20800112,12/11/2008 00:00,NOH vs. LAL,L,34,76,0.447,5,17,0.294,13,20,0.65,86,1610612747,LAL,W,32,78,0.41,6,16,0.375,23,28,0.821,93
1610612746,LAC,20800115,12/11/2008 00:00,LAC vs. SAC,L,34,77,0.442,10,20,0.5,20,27,0.741,98,1610612758,SAC,W,42,80,0.525,5,14,0.357,14,18,0.778,103
1610612751,NJN,20800109,12/11/2008 00:00,NJN vs. IND,L,34,80,0.425,8,22,0.364,11,15,0.733,87,1610612754,IND,W,35,74,0.473,6,15,0.4,22,25,0.88,98
1610612763,MEM,20800110,12/11/2008 00:00,MEM vs. NYK,L,40,82,0.488,5,16,0.313,18,22,0.818,103,1610612752,NYK,W,52,88,0.591,19,34,0.559,9,9,1,132
1610612749,MIL,20800111,12/11/2008 00:00,MIL vs. SAS,W,31,75,0.413,2,11,0.182,18,25,0.72,82,1610612759,SAS,L,32,74,0.432,7,20,0.35,7,9,0.778,78
1610612760,OKC,20800113,12/11/2008 00:00,OKC vs. ORL,L,34,91,0.374,3,11,0.273,21,27,0.778,92,1610612753,ORL,W,41,91,0.451,7,22,0.318,20,27,0.741,109
1610612741,CHI,20800118,13/11/2008 00:00,CHI vs. DAL,W,35,85,0.412,3,9,0.333,25,33,0.758,98,1610612742,DAL,L,32,87,0.368,4,15,0.267,23,30,0.767,91
1610612744,GSW,20800119,13/11/2008 00:00,GSW vs. DET,L,37,90,0.411,1,9,0.111,27,37,0.73,102,1610612765,DET,W,39,86,0.453,6,13,0.462,23,31,0.742,107
1610612739,CLE,20800117,13/11/2008 00:00,CLE vs. DEN,W,47,82,0.573,6,16,0.375,10,12,0.833,110,1610612743,DEN,L,35,73,0.479,8,19,0.421,21,24,0.875,99
1610612763,MEM,20800126,14/11/2008 00:00,MEM vs. MIL,L,34,86,0.395,5,19,0.263,23,24,0.958,96,1610612749,MIL,W,35,91,0.385,3,13,0.231,28,32,0.875,101
1610612759,SAS,20800129,14/11/2008 00:00,SAS vs. HOU,W,30,67,0.448,7,16,0.438,10,14,0.714,77,1610612745,HOU,L,30,75,0.4,6,15,0.4,9,11,0.818,75
1610612740,NOH,20800127,14/11/2008 00:00,NOH vs. POR,W,30,71,0.423,7,22,0.318,20,24,0.833,87,1610612757,POR,L,30,69,0.435,7,21,0.333,15,18,0.833,82
1610612758,SAC,20800130,14/11/2008 00:00,SAC vs. PHX,L,34,80,0.425,4,17,0.235,23,30,0.767,95,1610612756,PHX,W,36,78,0.462,5,15,0.333,20,34,0.588,97
1610612738,BOS,20800125,14/11/2008 00:00,BOS vs. DEN,L,29,73,0.397,10,25,0.4,17,21,0.81,85,1610612743,DEN,W,39,80,0.488,5,14,0.357,11,13,0.846,94
1610612752,NYK,20800124,14/11/2008 00:00,NYK vs. OKC,W,40,89,0.449,7,27,0.259,29,40,0.725,116,1610612760,OKC,L,44,93,0.473,1,7,0.143,17,24,0.708,106
1610612766,CHA,20800120,14/11/2008 00:00,CHA vs. UTA,W,34,73,0.466,5,12,0.417,31,38,0.816,104,1610612762,UTA,L,36,82,0.439,5,12,0.417,19,24,0.792,96
1610612747,LAL,20800131,14/11/2008 00:00,LAL vs. DET,L,40,95,0.421,4,19,0.211,11,16,0.688,95,1610612765,DET,W,35,69,0.507,7,16,0.438,29,34,0.853,106
1610612754,IND,20800121,14/11/2008 00:00,IND vs. PHI,L,37,84,0.44,8,24,0.333,10,17,0.588,92,1610612755,PHI,W,35,95,0.368,2,8,0.25,22,31,0.71,94
1610612748,MIA,20800122,14/11/2008 00:00,MIA vs. WAS,W,40,85,0.471,7,24,0.292,10,15,0.667,97,1610612764,WAS,L,31,76,0.408,5,15,0.333,10,18,0.556,77
1610612742,DAL,20800128,14/11/2008 00:00,DAL vs. ORL,L,38,87,0.437,5,16,0.313,19,23,0.826,100,1610612753,ORL,W,33,85,0.388,9,25,0.36,27,37,0.73,102
1610612751,NJN,20800123,14/11/2008 00:00,NJN vs. ATL,W,38,80,0.475,7,13,0.538,32,39,0.821,115,1610612737,ATL,L,38,80,0.475,15,27,0.556,17,23,0.739,108
1610612746,LAC,20800132,15/11/2008 00:00,LAC vs. GSW,L,36,91,0.396,6,26,0.231,25,28,0.893,103,1610612744,GSW,W,48,94,0.511,7,19,0.368,18,24,0.75,121
